,x,y,dbh,canopy_radius,height,fruiting_jan,fruiting_feb,fruiting_mar,fruiting_apr,fruiting_may,fruiting_jun,fruiting_jul,fruiting_aug,fruiting_sep,fruiting_oct,fruiting_nov,fruiting_dec,genus,species
1,24,7,17,1.775,12,0,0,0,0,0,0,0,0,0,0,0,0,Combretocarpus,rotundatus
2,17,7,10.7,1.4625,9,0,0,0,0,0,0,0,0,0,0,0,0,Combretocarpus,rotundatus
3,20,13,10.2,1.5875,7.5,0,0,0,0,0,0,0,0,0,0,0,0,Combretocarpus,rotundatus
4,21,16,11.2,1.4875,7,0,0,0,0,0,0,0,0,0,0,0,0,Combretocarpus,rotundatus
5,14,16,11.4,1.4875,9,0,0,0,0,0,0,0,0,0,0,0,0,Combretocarpus,rotundatus
6,20,20,7.1,1.0875,4.5,0,0,0,0,0,0,0,0,0,0,0,0,Combretocarpus,rotundatus
7,14,23,7,0.95,4.5,0,0,0,0,0,0,0,0,0,0,0,0,Combretocarpus,rotundatus
8,14,16,7.8,0.8625,7,0,0,0,0,0,0,0,0,0,0,0,0,Combretocarpus,rotundatus
9,14,14,6.6,0.6875,6,0,0,0,0,0,0,0,0,0,0,0,0,Combretocarpus,rotundatus
10,12,14,7.2,1.425,4,0,0,0,0,0,0,0,0,0,0,0,0,Combretocarpus,rotundatus
11,5,16,16.1,1.75,12,0,0,0,0,0,0,0,0,0,0,0,0,Combretocarpus,rotundatus
12,2,20,6.8,0.81,4,0,0,0,0,0,0,0,0,0,0,0,0,Combretocarpus,rotundatus
13,7,10,7.7,1.4625,5.5,0,0,0,0,0,0,0,0,0,0,0,0,Combretocarpus,rotundatus
14,5,9,6.7,1.6125,3,0,0,0,0,0,0,0,0,0,0,0,0,Syzygium,sp. 6 cf. campanulatum
15,3,8,7.7,1.2875,4,0,0,0,0,0,0,0,0,0,0,0,0,Syzygium,sp. 6 cf. campanulatum
16,2,8,9.2,1.9,4,0,0,0,0,0,0,0,0,0,0,0,0,Syzygium,sp. 6 cf. campanulatum
17,5,7,12,2.525,5.5,0,0,0,0,0,0,0,0,0,0,0,0,Calophyllum,cf. lanigerum
18,1,2,10.3,1.1625,10,0,0,0,0,0,0,0,0,0,0,0,0,Combretocarpus,rotundatus
19,9,1,8.4,0.7625,8,0,0,0,0,0,0,0,0,0,0,0,0,Combretocarpus,rotundatus
20,9,1,7.8,0,8,0,0,0,0,0,0,0,0,0,0,0,0,Combretocarpus,rotundatus
21,40,23,6.3,1.375,4.5,0,0,0,0,0,0,0,0,0,0,0,0,Syzygium,sp. 6 cf. campanulatum
22,40,22,9.7,0.825,11,0,0,0,0,0,0,0,0,0,0,0,0,Combretocarpus,rotundatus
23,46,17,12.1,1.75,11,0,0,0,0,0,0,0,0,0,0,0,0,Combretocarpus,rotundatus
24,50,25,6.6,0.4875,3,0,0,0,0,0,0,0,0,0,0,0,0,Combretocarpus,rotundatus
25,49,14,7.2,1.025,6,0,0,0,0,0,0,0,0,0,0,0,0,Combretocarpus,rotundatus
26,38,15,8.6,1.275,7,0,0,0,0,0,0,0,0,0,0,0,0,Combretocarpus,rotundatus
27,37,14,6.7,1,4,0,0,0,0,0,0,0,0,0,0,0,0,Combretocarpus,rotundatus
28,36,14,10.4,1.75,7,0,0,0,0,0,0,0,0,0,0,0,0,Combretocarpus,rotundatus
29,37,18,10,1.825,7,0,0,0,0,0,0,0,0,0,0,0,0,Combretocarpus,rotundatus
30,37,18,10.5,1.5,7.5,0,0,0,0,0,0,0,0,0,0,0,0,Combretocarpus,rotundatus
31,34,14,11.5,1.5,8,0,0,0,0,0,0,0,0,0,0,0,0,Combretocarpus,rotundatus
32,32,15,9.5,0.875,7,0,0,0,0,0,0,0,0,0,0,0,0,Combretocarpus,rotundatus
33,31,17,7.6,0.75,6.5,0,0,0,0,0,0,0,0,0,0,0,0,Combretocarpus,rotundatus
34,28,11,7.8,0.8625,5.5,0,0,0,0,0,0,0,0,0,0,0,0,Combretocarpus,rotundatus
35,26,12,6.7,1.15,4.5,0,0,0,0,0,0,0,0,0,0,0,0,Combretocarpus,rotundatus
36,31,22,7.8,2.125,3,0,0,0,0,0,0,0,0,0,0,0,0,Syzygium,sp. 6 cf. campanulatum
37,31,22,7.4,1.6375,4.5,0,0,0,0,0,0,0,0,0,0,0,0,Syzygium,sp. 6 cf. campanulatum
38,31,23,12.4,0.85,8,0,0,0,0,0,0,0,0,0,0,0,0,Combretocarpus,rotundatus
39,31,6,8.4,1.85,6.5,0,0,0,0,0,0,0,0,0,0,0,0,Combretocarpus,rotundatus
40,26,3,8.4,0.875,7.5,0,0,0,0,0,0,0,0,0,0,0,0,Combretocarpus,rotundatus
41,25,2,11.1,1.3125,10,0,0,0,0,0,0,0,0,0,0,0,0,Combretocarpus,rotundatus
42,26,1,9.7,1.6875,6,0,0,0,0,0,0,0,0,0,0,0,0,Combretocarpus,rotundatus
43,40,2,6.9,0.5,4,0,0,0,0,0,0,0,0,0,0,0,0,Combretocarpus,rotundatus
44,37,6,14,1.3125,11,0,0,0,0,0,0,0,0,0,0,0,0,Combretocarpus,rotundatus
45,48,2,11,1.25,10,0,0,0,0,0,0,0,0,0,0,0,0,Combretocarpus,rotundatus
46,49,6,6.2,1.85,4.5,0,0,0,0,0,0,0,0,0,0,0,0,Combretocarpus,rotundatus
47,49,6,6.8,0.825,6,0,0,0,0,0,0,0,0,0,0,0,0,Combretocarpus,rotundatus
48,49,9,9,1.4,4,0,0,0,0,0,0,0,0,0,0,0,0,Combretocarpus,rotundatus
49,45,1,6.8,1,4,0,0,0,0,0,0,0,0,0,0,0,0,Combretocarpus,rotundatus
50,47,12,7.7,1.3875,7,0,0,0,0,0,0,0,0,0,0,0,0,Combretocarpus,rotundatus
51,41,10,11,1.3,9,0,0,0,0,0,0,0,0,0,0,0,0,Combretocarpus,rotundatus
52,39,9,6.5,1.25,3,0,0,0,0,0,0,0,0,0,0,0,0,Combretocarpus,rotundatus
53,73,14,8.9,1.0625,5.5,0,0,0,0,0,0,0,0,0,0,0,0,Combretocarpus,rotundatus
54,71,14,9.6,2.1375,4.5,0,0,0,0,0,0,0,0,0,0,0,0,Combretocarpus,rotundatus
55,68,12,7.3,0.6,4,0,0,0,0,0,0,0,0,0,0,0,0,Combretocarpus,rotundatus
56,72,20,7.8,1.35,5.5,0,0,0,0,0,0,0,0,0,0,0,0,Combretocarpus,rotundatus
57,63,13,8.5,1.2375,6.5,0,0,0,0,0,0,0,0,0,0,0,0,Combretocarpus,rotundatus
58,62,12,7,1.0125,4.5,0,0,0,0,0,0,0,0,0,0,0,0,Combretocarpus,rotundatus
59,57,13,6.6,0.7375,3.5,0,0,0,0,0,0,0,0,0,0,0,0,Combretocarpus,rotundatus
60,53,11,7.9,1.0125,7,0,0,0,0,0,0,0,0,0,0,0,0,Combretocarpus,rotundatus
61,54,17,8.8,0.8875,7,0,0,0,0,0,0,0,0,0,0,0,0,Combretocarpus,rotundatus
62,64,21,8.5,1.05,5.5,0,0,0,0,0,0,0,0,0,0,0,0,Combretocarpus,rotundatus
63,63,21,6.3,0.925,3.5,0,0,0,0,0,0,0,0,0,0,0,0,Combretocarpus,rotundatus
64,58,21,8.4,0.975,6.5,0,0,0,0,0,0,0,0,0,0,0,0,Combretocarpus,rotundatus
65,59,21,6.4,1.125,3.8,0,0,0,0,0,0,0,0,0,0,0,0,Combretocarpus,rotundatus
66,62,5,6.5,0.825,5,0,0,0,0,0,0,0,0,0,0,0,0,Combretocarpus,rotundatus
67,62,5,11.8,1.05,8,0,0,0,0,0,0,0,0,0,0,0,0,Syzygium,sp. 6 cf. campanulatum
68,63,1,8.2,1.475,5,0,0,0,0,0,0,0,0,0,0,0,0,Combretocarpus,rotundatus
69,56,9,8.4,0.9625,6.5,0,0,0,0,0,0,0,0,0,0,0,0,Combretocarpus,rotundatus
70,55,4,7.25,0.9125,7,0,0,0,0,0,0,0,0,0,0,0,0,Combretocarpus,rotundatus
71,53,7,10.2,0.9875,7.5,0,0,0,0,0,0,0,0,0,0,0,0,Combretocarpus,rotundatus
72,53,6,8.2,1.1625,7,0,0,0,0,0,0,0,0,0,0,0,0,Combretocarpus,rotundatus
73,53,7,6.4,0.975,4,0,0,0,0,0,0,0,0,0,0,0,0,Combretocarpus,rotundatus
74,52,10,9.8,1.3875,7,0,0,0,0,0,0,0,0,0,0,0,0,Combretocarpus,rotundatus
75,50,10,7.8,0.8375,6.5,0,0,0,0,0,0,0,0,0,0,0,0,Combretocarpus,rotundatus
76,52,1,7.1,0.775,7,0,0,0,0,0,0,0,0,0,0,0,0,Combretocarpus,rotundatus
77,60,10,6.1,1.075,4,0,0,0,0,0,0,0,0,0,0,0,0,Combretocarpus,rotundatus
78,68,1,6.6,1.05,4.5,0,0,0,0,0,0,0,0,0,0,0,0,Combretocarpus,rotundatus
79,70,8,6.6,0.625,6.5,0,0,0,0,0,0,0,0,0,0,0,0,Combretocarpus,rotundatus
80,74,6,9.2,1.375,6.5,0,0,0,0,0,0,0,0,0,0,0,0,Combretocarpus,rotundatus
81,74,6,6.7,0.8,4.5,0,0,0,0,0,0,0,0,0,0,0,0,Combretocarpus,rotundatus
82,85,4,8.7,1.125,8.5,0,0,0,0,0,0,0,0,0,0,0,0,Combretocarpus,rotundatus
83,85,6,6.7,1.0375,7,0,0,0,0,0,0,0,0,0,0,0,0,Combretocarpus,rotundatus
84,78,8,7.2,0.7125,4.5,0,0,0,0,0,0,0,0,0,0,0,0,Combretocarpus,rotundatus
85,77,8,7.3,0.8375,5,0,0,0,0,0,0,0,0,0,0,0,0,Combretocarpus,rotundatus
86,76,6,7.7,0.9375,5.5,0,0,0,0,0,0,0,0,0,0,0,0,Combretocarpus,rotundatus
87,76,10,6.5,0.5625,5.5,0,0,0,0,0,0,0,0,0,0,0,0,Combretocarpus,rotundatus
88,76,14,7.1,0.75,6.5,0,0,0,0,0,0,0,0,0,0,0,0,Combretocarpus,rotundatus
89,76,16,8.9,0.95,7.5,0,0,0,0,0,0,0,0,0,0,0,0,Combretocarpus,rotundatus
90,77,16,7.1,1.475,5,0,0,0,0,0,0,0,0,0,0,0,0,Combretocarpus,rotundatus
91,79,22,6.7,1.65,7.5,0,0,0,0,0,0,0,0,0,0,0,0,Combretocarpus,rotundatus
92,83,23,7.3,1.5375,4,0,0,0,0,0,0,0,0,0,0,0,0,Combretocarpus,rotundatus
93,84,24,13.4,1.0375,9.5,0,0,0,0,0,0,0,0,0,0,0,0,Combretocarpus,rotundatus
94,84,16,6.9,0.75,4.8,0,0,0,0,0,0,0,0,0,0,0,0,Combretocarpus,rotundatus
95,85,15,6.3,0.7,5,0,0,0,0,0,0,0,0,0,0,0,0,Combretocarpus,rotundatus
96,89,20,7.8,1.2,7,0,0,0,0,0,0,0,0,0,0,0,0,Combretocarpus,rotundatus
97,94,23,8.1,1.025,7,0,0,0,0,0,0,0,0,0,0,0,0,Combretocarpus,rotundatus
98,96,22,8.2,1.175,7.5,0,0,0,0,0,0,0,0,0,0,0,0,Combretocarpus,rotundatus
99,96,15,8.5,0.6125,6,0,0,0,0,0,0,0,0,0,0,0,0,Combretocarpus,rotundatus
100,96,16,8.2,0.9625,7,0,0,0,0,0,0,0,0,0,0,0,0,Combretocarpus,rotundatus
101,98,10,8.2,3.3,5.5,0,0,0,0,0,0,0,0,0,0,0,0,Combretocarpus,rotundatus
102,98,4,6,0.75,4.5,0,0,0,0,0,0,0,0,0,0,0,0,Combretocarpus,rotundatus
103,92,9,6.5,0.8375,4,0,0,0,0,0,0,0,0,0,0,0,0,Combretocarpus,rotundatus
104,90,6,7.9,1.2125,7,0,0,0,0,0,0,0,0,0,0,0,0,Combretocarpus,rotundatus
105,14,32,15,1.6,8,0,0,0,0,0,0,0,0,0,0,0,0,Combretocarpus,rotundatus
106,20,37,19.9,2.375,10,0,0,0,0,0,0,0,0,0,0,0,0,Combretocarpus,rotundatus
107,18,39,7.9,1.575,4,0,0,0,0,0,0,0,0,0,0,0,0,Combretocarpus,rotundatus
108,18,38,9.8,1.025,6.5,0,0,0,0,0,0,0,0,0,0,0,0,Combretocarpus,rotundatus
109,16,38,12.7,1.575,7,0,0,0,0,0,0,0,0,0,0,0,0,Combretocarpus,rotundatus
110,12,34,8.4,0.95,4,0,0,0,0,0,0,0,0,0,0,0,0,Combretocarpus,rotundatus
111,18,43,9.7,2.025,5,0,0,0,0,0,0,0,0,0,0,0,0,Combretocarpus,rotundatus
112,18,43,8.5,1.475,4,0,0,0,0,0,0,0,0,0,0,0,0,Combretocarpus,rotundatus
113,23,45,8,1.725,4,0,0,0,0,0,0,0,0,0,0,0,0,Combretocarpus,rotundatus
114,23,45,8.3,1.85,4.5,0,0,0,0,0,0,0,0,0,0,0,0,Combretocarpus,rotundatus
115,17,46,10.7,1.875,4.5,0,0,0,0,0,0,0,0,0,0,0,0,Combretocarpus,rotundatus
116,18,47,6.4,0.725,4.5,0,0,0,0,0,0,0,0,0,0,0,0,Combretocarpus,rotundatus
117,23,50,7.8,1,6,0,0,0,0,0,0,0,0,0,0,0,0,Combretocarpus,rotundatus
118,5,49,12,1.675,6.5,0,0,0,0,0,0,0,0,0,0,0,0,Combretocarpus,rotundatus
119,5,46,11.2,1.575,6.5,0,0,0,0,0,0,0,0,0,0,0,0,Combretocarpus,rotundatus
120,2,45,8.5,1.325,6,0,0,0,0,0,0,0,0,0,0,0,0,Combretocarpus,rotundatus
121,2,44,11.9,2.175,7,0,0,0,0,0,0,0,0,0,0,0,0,Syzygium,sp. 6 cf. campanulatum
122,1,44,6.2,0.675,3.5,0,0,0,0,0,0,0,0,0,0,0,0,Combretocarpus,rotundatus
123,3,36,6.4,0.675,4,0,0,0,0,0,0,0,0,0,0,0,0,Combretocarpus,rotundatus
124,6,36,10,1.95,5,0,0,0,0,0,0,0,0,0,0,0,0,Combretocarpus,rotundatus
125,9,32,9.6,1.1,7.5,0,0,0,0,0,0,0,0,0,0,0,0,Combretocarpus,rotundatus
126,6,30,13.6,1.6,8,0,0,0,0,0,0,0,0,0,0,0,0,Combretocarpus,rotundatus
127,38,26,15.6,2.625,8.5,0,0,0,0,0,0,0,0,0,0,0,0,Combretocarpus,rotundatus
128,43,26,7.9,0.8,6,0,0,0,0,0,0,0,0,0,0,0,0,Combretocarpus,rotundatus
129,46,27,7,0.9,5.5,0,0,0,0,0,0,0,0,0,0,0,0,Combretocarpus,rotundatus
130,46,27,8,1.75,6,0,0,0,0,0,0,0,0,0,0,0,0,Combretocarpus,rotundatus
131,46,27,7.2,0.925,6,0,0,0,0,0,0,0,0,0,0,0,0,Combretocarpus,rotundatus
132,50,26,8.3,0.925,6.5,0,0,0,0,0,0,0,0,0,0,0,0,Combretocarpus,rotundatus
133,44,30,11.8,1.225,7.5,0,0,0,0,0,0,0,0,0,0,0,0,Combretocarpus,rotundatus
134,48,34,6.6,0.9,4.5,0,0,0,0,0,0,0,0,0,0,0,0,Combretocarpus,rotundatus
135,38,34,7.2,0.75,5.5,0,0,0,0,0,0,0,0,0,0,0,0,Combretocarpus,rotundatus
136,39,35,8,0.775,4,0,0,0,0,0,0,0,0,0,0,0,0,Combretocarpus,rotundatus
137,39,35,8,1.1,5.5,0,0,0,0,0,0,0,0,0,0,0,0,Combretocarpus,rotundatus
138,42,36,8.3,1.475,5.5,0,0,0,0,0,0,0,0,0,0,0,0,Combretocarpus,rotundatus
139,45,42,7.2,0.95,4.5,0,0,0,0,0,0,0,0,0,0,0,0,Combretocarpus,rotundatus
140,46,43,10.6,0.925,6.5,0,0,0,0,0,0,0,0,0,0,0,0,Combretocarpus,rotundatus
141,46,43,8.8,1.275,5.5,0,0,0,0,0,0,0,0,0,0,0,0,Combretocarpus,rotundatus
142,45,50,12,1.15,7.5,0,0,0,0,0,0,0,0,0,0,0,0,Combretocarpus,rotundatus
143,43,49,9.1,1.925,4.5,0,0,0,0,0,0,0,0,0,0,0,0,Combretocarpus,rotundatus
144,35,48,18.9,2.25,9,0,0,0,0,0,0,0,0,0,0,0,0,Combretocarpus,rotundatus
145,35,48,9.2,2.125,4.5,0,0,0,0,0,0,0,0,0,0,0,0,Combretocarpus,rotundatus
146,31,46,8.6,1.1,6,0,0,0,0,0,0,0,0,0,0,0,0,Combretocarpus,rotundatus
147,27,44,8.8,1.05,4.5,0,0,0,0,0,0,0,0,0,0,0,0,Combretocarpus,rotundatus
148,26,44,6.9,0.675,5.5,0,0,0,0,0,0,0,0,0,0,0,0,Combretocarpus,rotundatus
149,26,44,6.9,0.7,5.5,0,0,0,0,0,0,0,0,0,0,0,0,Combretocarpus,rotundatus
150,33,41,9.5,0.925,6.5,0,0,0,0,0,0,0,0,0,0,0,0,Combretocarpus,rotundatus
151,33,38,12.4,1.7,8.5,0,0,0,0,0,0,0,0,0,0,0,0,Combretocarpus,rotundatus
152,31,38,8.4,0.925,6.5,0,0,0,0,0,0,0,0,0,0,0,0,Combretocarpus,rotundatus
153,28,38,7.7,1.275,6.5,0,0,0,0,0,0,0,0,0,0,0,0,Combretocarpus,rotundatus
154,31,35,6.4,1.275,3.5,0,0,0,0,0,0,0,0,0,0,0,0,Combretocarpus,rotundatus
155,33,35,14.7,1.8,10,0,0,0,0,0,0,0,0,0,0,0,0,Combretocarpus,rotundatus
156,50,33,14,2.1,9,0,0,0,0,0,0,0,0,0,0,0,0,Combretocarpus,rotundatus
157,50,33,14.6,1.975,9.5,0,0,0,0,0,0,0,0,0,0,0,0,Combretocarpus,rotundatus
158,32,33,7.1,1.275,4.5,0,0,0,0,0,0,0,0,0,0,0,0,Combretocarpus,rotundatus
159,33,29,9.2,0.8,6,0,0,0,0,0,0,0,0,0,0,0,0,Combretocarpus,rotundatus
160,30,26,6.5,0.775,4.5,0,0,0,0,0,0,0,0,0,0,0,0,Combretocarpus,rotundatus
161,27,25,8.4,0.875,4.5,0,0,0,0,0,0,0,0,0,0,0,0,Shorea,balangeran
162,51,31,7.5,1.025,5.5,0,0,0,0,0,0,0,0,0,0,0,0,Combretocarpus,rotundatus
163,55,30,8.6,1.65,7,0,0,0,0,0,0,0,0,0,0,0,0,Combretocarpus,rotundatus
164,55,30,6.3,1,5,0,0,0,0,0,0,0,0,0,0,0,0,Combretocarpus,rotundatus
165,61,31,8.4,1.325,4,0,0,0,0,0,0,0,0,0,0,0,0,Syzygium,sp. 6 cf. campanulatum
166,56,35,9.7,1.6,6,0,0,0,0,0,0,0,0,0,0,0,0,Combretocarpus,rotundatus
167,56,33,8.4,1.275,7.5,0,0,0,0,0,0,0,0,0,0,0,0,Combretocarpus,rotundatus
168,53,36,7.8,0.9,5.5,0,0,0,0,0,0,0,0,0,0,0,0,Combretocarpus,rotundatus
169,53,42,10.2,1.325,8,0,0,0,0,0,0,0,0,0,0,0,0,Combretocarpus,rotundatus
170,57,38,7.2,1.45,4,0,0,0,0,0,0,0,0,0,0,0,0,Combretocarpus,rotundatus
171,62,38,9.1,1.05,7.5,0,0,0,0,0,0,0,0,0,0,0,0,Combretocarpus,rotundatus
172,62,38,6.7,0.625,6,0,0,0,0,0,0,0,0,0,0,0,0,Combretocarpus,rotundatus
173,61,39,6.3,0.725,6,0,0,0,0,0,0,0,0,0,0,0,0,Cratoxylon,glaucum
174,60,42,6.9,0.85,6,0,0,0,0,0,0,0,0,0,0,0,0,Cratoxylon,glaucum
175,57,41,8.5,1.475,4.5,0,0,0,0,0,0,0,0,0,0,0,0,Combretocarpus,rotundatus
176,51,49,8.9,1.2,7,0,0,0,0,0,0,0,0,0,0,0,0,Combretocarpus,rotundatus
177,75,28,6,1,4,0,0,0,0,0,0,0,0,0,0,0,0,Combretocarpus,rotundatus
178,79,31,9.3,1.2,7,0,0,0,0,0,0,0,0,0,0,0,0,Combretocarpus,rotundatus
179,65,47,7.6,0.825,6,0,0,0,0,0,0,0,0,0,0,0,0,Cratoxylon,glaucum
180,66,46,10.2,1.125,4,0,0,0,0,0,0,0,0,0,0,0,0,Combretocarpus,rotundatus
181,70,48,11.6,1.525,9.5,0,0,0,0,0,0,0,0,0,0,0,0,Combretocarpus,rotundatus
182,64,41,11.1,1.4,6,0,0,0,0,0,0,0,0,0,0,0,0,Combretocarpus,rotundatus
183,69,39,8.6,1.025,7,0,0,0,0,0,0,0,0,0,0,0,0,Combretocarpus,rotundatus
184,70,34,6.4,0.7,3.2,0,0,0,0,0,0,0,0,0,0,0,0,Combretocarpus,rotundatus
185,74,29,8.6,0.975,6,0,0,0,0,0,0,0,0,0,0,0,0,Combretocarpus,rotundatus
186,72,28,11.6,1.775,8.5,0,0,0,0,0,0,0,0,0,0,0,0,Combretocarpus,rotundatus
187,70,27,10.5,2.575,7.5,0,0,0,0,0,0,0,0,0,0,0,0,Combretocarpus,rotundatus
188,66,26,7.4,0.625,6,0,0,0,0,0,0,0,0,0,0,0,0,Combretocarpus,rotundatus
189,98,27,11.3,1.8,7,0,0,0,0,0,0,0,0,0,0,0,0,Combretocarpus,rotundatus
190,100,34,6.5,0.875,4.5,0,0,0,0,0,0,0,0,0,0,0,0,Combretocarpus,rotundatus
191,98,34,6.8,1.05,4,0,0,0,0,0,0,0,0,0,0,0,0,Combretocarpus,rotundatus
192,86,27,6.2,0.775,4,0,0,0,0,0,0,0,0,0,0,0,0,Combretocarpus,rotundatus
193,85,29,6,0.825,5,0,0,0,0,0,0,0,0,0,0,0,0,Combretocarpus,rotundatus
194,76,32,10.2,1.2875,8,0,0,0,0,0,0,0,0,0,0,0,0,Combretocarpus,rotundatus
195,82,28,9.7,1.25,6.5,0,0,0,0,0,0,0,0,0,0,0,0,Combretocarpus,rotundatus
196,82,33,7.8,1.0625,5.5,0,0,0,0,0,0,0,0,0,0,0,0,Combretocarpus,rotundatus
197,84,34,6.5,1.175,4.5,0,0,0,0,0,0,0,0,0,0,0,0,Combretocarpus,rotundatus
198,85,35,8.9,1.0125,7.5,0,0,0,0,0,0,0,0,0,0,0,0,Combretocarpus,rotundatus
199,87,33,15.6,1.075,10,0,0,0,0,0,0,0,0,0,0,0,0,Combretocarpus,rotundatus
200,75,37,8.1,1.1125,5.5,0,0,0,0,0,0,0,0,0,0,0,0,Combretocarpus,rotundatus
201,77,41,7.3,1.25,4,0,0,0,0,0,0,0,0,0,0,0,0,Combretocarpus,rotundatus
202,86,42,7.8,1.05,4,0,0,0,0,0,0,0,0,0,0,0,0,Combretocarpus,rotundatus
203,86,42,9.1,1.1375,6,0,0,0,0,0,0,0,0,0,0,0,0,Combretocarpus,rotundatus
204,87,49,6.3,0.675,3.5,0,0,0,0,0,0,0,0,0,0,0,0,Combretocarpus,rotundatus
205,90,47,6.2,0.8625,5,0,0,0,0,0,0,0,0,0,0,0,0,Combretocarpus,rotundatus
206,90,41,8,0.9625,4.5,0,0,0,0,0,0,0,0,0,0,0,0,Combretocarpus,rotundatus
207,94,47,7.8,1.55,6,0,0,0,0,0,0,0,0,0,0,0,0,Combretocarpus,rotundatus
208,94,50,8.9,0.95,5,0,0,0,0,0,0,0,0,0,0,0,0,Combretocarpus,rotundatus
209,94,42,6.3,0.5875,4,0,0,0,0,0,0,0,0,0,0,0,0,Combretocarpus,rotundatus
210,98,39,7.5,0.95,7,0,0,0,0,0,0,0,0,0,0,0,0,Combretocarpus,rotundatus
211,99,43,9.6,0.8,10,0,0,0,0,0,0,0,0,0,0,0,0,Combretocarpus,rotundatus
212,2,52,11,1.6875,5.5,0,0,0,0,0,0,0,0,0,0,0,0,Combretocarpus,rotundatus
213,6,55,6.3,1.05,4.5,0,0,0,0,0,0,0,0,0,0,0,0,Combretocarpus,rotundatus
214,6,55,8.4,0.925,6,0,0,0,0,0,0,0,0,0,0,0,0,Combretocarpus,rotundatus
215,10,52,10.2,2.125,7,0,0,0,0,0,0,0,0,0,0,0,0,Combretocarpus,rotundatus
216,11,54,9,1.2125,6,0,0,0,0,0,0,0,0,0,0,0,0,Combretocarpus,rotundatus
217,6,58,7.9,1.9625,3,0,0,0,0,0,0,0,0,0,0,0,0,Combretocarpus,rotundatus
218,8,58,10.7,1.175,7,0,0,0,0,0,0,0,0,0,0,0,0,Combretocarpus,rotundatus
219,2,61,8.7,0.95,8,0,0,0,0,0,0,0,0,0,0,0,0,Combretocarpus,rotundatus
