"","x","y","dbh","crown","height","fruiting","genus","species"
"1",1.1,1.3,18.3,3.1,18.13924121851,0,"Shorea","teysmanniana"
"2",1.3,2.6,8.7,0.85,13,0,"Ilex","hypoglauca"
"3",0.3,3.6,7.2,0.85,13,0,"Sandoricum","beccanarium"
"4",3.4,3.2,10.5,2.2325,13,0,"Memecylon","sp. 1"
"5",2.7,7.1,36.4,5.3425,10.080060910052,0,"Campnosperma","coriaceum"
"6",1,7,10.3,1.925,13,0,"Tristaniopsis","sp. 2"
"7",1.9,10,10.2,2.225,15,0,"Callophyllum","cf. lanigerum / sp. 2"
"8",2.3,10,18.8,2.525,17.8201402942395,0,"Madhuca","mottleyana"
"9",4.2,9.6,37.5,3.85,9.63515430442063,0,"Tetramerista","glabra"
"10",4.8,10.3,11.6,1.65,9.31285626506717,0,"Gonystylus","bancanus"
"11",1.9,13.2,33.2,4.5,12.9351091399407,0,"Mesua","sp. 1"
"12",2,14.7,11,1.65,15,0,"Nephelium","lappaceum"
"13",2.1,15.8,8.8,1.65,9,0,"Tetractomia","tetrandra"
"14",3.6,18.1,13,2.175,15,0,"Ilex","hypoglauca"
"15",6.6,19.6,7.6,1.925,13,0,"Tetractomia","tetrandra"
"16",7.2,17.2,24.9,3.8,11.7768347915753,0,"Calophyllum","cf. hosei (cf. fragrans)"
"17",8.2,19.2,10.1,0.875,13,0,"Gymnacranthera","farquhariania"
"18",8.3,16.8,10,1.5,10,0,"Tetractomia","tetrandra"
"19",10,18.9,6.5,1.25,6,0,"Horsfieldia","crassifolia"
"20",11.1,16.6,7.7,1.325,8.5,0,"Isonandra","lanceolata"
"21",11,14.8,14.1,2.85,14,0,"Licania","splendens"
"22",14.5,15.1,8.3,1.075,15,0,"Nephelium","lappaceum"
"23",14.9,18.3,8.2,2.875,10,0,"Licania","splendens"
"24",16.6,15.4,10.9,1.925,12,0,"Maasia (Polyalthia)","hypoleuca"
"25",20,16.4,21.7,3.625,23.2680052906522,0,"Mesua","sp. 1"
"26",6.5,13.1,11.7,2.25,11,0,"Diospyros","areolata (bantamensis)"
"27",7.3,10.2,7.5,1.65,7,0,"Diospyros","areolata (bantamensis)"
"28",6.3,9.2,12.3,2.275,15,0,"Nephelium","lappaceum"
"29",7.1,8.4,15.1,3.525,13,0,"Nephelium","lappaceum"
"30",7.9,7.2,11.5,2.2,14,0,"Tetractomia","tetrandra"
"31",9,9.8,25.7,2.975,18.5,0,"Madhuca","mottleyana"
"32",9.6,10.2,12,2.45,10,0,"Garcinia","bancana"
"33",9.6,9.6,8,0.85,9,0,"Magnolia","bintulensis"
"34",11,11.7,11.1,1.5,15,0,"Gonystylus","bancanus"
"35",13,8,10.6,2.275,15,0,"Nephelium","lappaceum"
"36",11.5,6.5,12.9,2.725,15,0,"Elaeocarpus","mastersii"
"37",10.8,5.5,21.6,2.55,16.8864989212714,0,"Xylopia","fusca"
"38",11.7,1.2,18.8,3.075,12.7996921216367,0,"Mezzetia","parviflora (leptopoda)"
"39",15,4.8,12.4,1.425,14,0,"Horsfieldia","crassifolia"
"40",15,4,10.2,1.275,14,0,"Tetractomia","tetrandra"
"41",13,2.9,8.4,1.775,5.5,0,"Garcinia","sp. 4 parvifolia"
"42",18.2,5.1,11,2.775,13,0,"Madhuca","mottleyana"
"43",19.2,7.8,8.5,1.65,7,0,"Horsfieldia","crassifolia"
"44",19.6,2,12,2.35,8,0,"Ilex","hypoglauca"
"45",17.9,0.6,10,1.425,11,0,"Xylopia","fusca"
"46",19.5,0,11,1.15,13,0,"Diospyros","areolata (bantamensis)"
"47",20.6,4.6,9.8,2.6,15,0,"Palaquium","pseudorostratum"
"48",21.1,5.3,19.8,3.975,7.08861877520599,0,"Mesua","sp. 1"
"49",20.3,5.7,13.6,2.925,10.4489291724392,0,"Stemonurus","cf. scorpiodes"
"50",21.9,11.6,7.3,1.525,8,0,"Tetractomia","tetrandra"
"51",20.9,19,6.6,1.625,8,0,"Calophyllum","cf. hosei (cf. fragrans)"
"52",20.9,19,19.6,1.625,8,0,"Nephelium","lappaceum"
"53",27,17,8.3,1.425,8,0,"Gymnacranthera","farquhariania"
"54",27,15.3,8.7,1.6,13,0,"Santiria","cf. griffithi"
"55",27.8,14.9,6.9,0.675,7,0,"Gymnacranthera","farquhariania"
"56",26.5,13.4,29.5,5.325,15.7869670503452,0,"Sandoricum","beccanarium"
"57",27.2,13,23.1,3.6,8.96092253047998,0,"Blumeodendron","tokbrai (elateriospermum)"
"58",29,12.1,8.4,1.65,11,0,"Tetramerista","glabra"
"59",30.1,9.1,26.7,2.5,21.455822843346,0,"Madhuca","mottleyana"
"60",29.3,7.5,9.8,1.375,12,0,"Neoscortechinia","kingii"
"61",23.9,3.2,10.8,2.3,15,0,"Neoscortechinia","kingii"
"62",26.3,1.6,8.4,0.975,13,0,"Xylopia","cf. malayana"
"63",27.6,2,29.6,3.8,21.9,0,"Stemonurus","cf. scorpiodes"
"64",26.2,0,29.3,2.85,25.8188910116685,0,"Xylopia","coriifolia"
"65",32.2,1.3,12,2.6,13,0,"Tetractomia","tetrandra"
"66",31.7,2.5,8,1.25,7,0,"Palaquium","cochlearifolium"
"67",34.2,2.3,6.7,1.3,11,0,"Nephelium","maingayi"
"68",36.4,3.2,12.1,2.475,15,0,"Mesua","sp. 1"
"69",37.4,3.1,15.1,2.5,17,0,"Palaquium","ridleyii"
"70",39.2,2.4,21,4,17.0811467390601,0,"Palaquium","ridleyii"
"71",37.4,1.3,25.2,2.475,23.7,0,"Koompassia","malaccensis"
"72",37.7,0,41.5,2.125,16.2415523655835,0,"Dyera","polyphylla (lowii)"
"73",34.2,2.7,32,4.7,19.0096749249292,0,"Mesua","sp. 1"
"74",34.8,3.6,19,4.325,22.4177123385695,0,"Neoscortechinia","kingii"
"75",36.8,4.5,26.9,3.125,28.9321291162811,0,"Palaquium","cochlearifolium"
"76",30.4,4.8,8.3,1.25,8,0,"Dyera","polyphylla (lowii)"
"77",28.7,6.8,14.5,1.325,10,0,"Gymnacranthera","farquhariania"
"78",34,5.5,18.3,2.25,10.3767331118987,0,"Blumeodendron","tokbrai (elateriospermum)"
"79",39.4,13.9,9.5,1.725,11,0,"Mesua","sp. 1"
"81",34.5,8.3,26,2.95,11.7768347915753,0,"Dactylocladus","stenostachys"
"82",31.5,10.3,37,3.775,14.2017059221718,0,"Koompassia","malaccensis"
"83",30.7,11.2,6.4,1.775,6,0,"Tetractomia","tetrandra"
"84",31.2,13.2,10.8,1.35,13,0,"Dyera","polyphylla (lowii)"
"85",31.2,16.1,30.7,3.275,26.3527275309737,0,"Litsea","cf. grandis var. rufofusca (cf. rufo-fusca)"
"86",32.6,17.2,19.8,2.3,23.8300202985864,0,"Shorea","teysmanniana"
"87",32.8,16.3,14.3,1.625,15.2940885027313,0,"Shorea","teysmanniana"
"88",33.6,15.1,18.7,2.525,24.5008443370683,0,"Madhuca","mottleyana"
"89",33.4,14,9.7,1.675,14,0,"Tetractomia","tetrandra"
"90",33.6,18,14.6,1.775,21.828828877801,0,"Syzygium","sp. 4"
"91",34.3,19.2,27.5,2.9,15.4294737608008,0,"Blumeodendron","tokbrai (elateriospermum)"
"92",33.3,18.2,12.6,1.875,14,0,"Dipterocarpus","borneensis"
"93",35.4,19.6,8.5,1.5,11,0,"Syzygium","sp. 1 cf. garcinifolia"
"94",37.2,17.4,10.9,2.175,16,0,"Mesua","sp. 1"
"95",36,15.6,8.2,2.025,8,0,"Tetractomia","tetrandra"
"96",36.4,16.2,12,2.35,13,0,"Syzygium","sp. 1 cf. garcinifolia"
"97",36.2,16.4,17.3,2.725,21.2,0,"Sandoricum","beccanarium"
"98",38.9,14.6,17.9,2.8,15,0,"Nephelium","lappaceum"
"99",39.1,11.2,26.2,3.275,21.8413096648997,0,"Sandoricum","beccanarium"
"100",40.4,0.7,6.9,1.4,9,0,"Madhuca","mottleyana"
"101",43,1,8.1,0.875,7,0,"Dyera","polyphylla (lowii)"
"102",44.5,1.7,22.7,3.5,21.1750759620208,0,"Shorea","teysmanniana"
"103",43.8,5.8,18.8,3.3,17.1365077382376,0,"Sandoricum","beccanarium"
"104",43.1,8,6.7,1.775,9,0,"Tetractomia","tetrandra"
"105",43.1,8.3,7.7,1.1,10,0,"Ilex","hypoglauca"
"106",42.6,10,34.7,5.2,23.8,0,"Calophyllum","hosei"
"107",42.6,9.9,7.6,2.025,10,0,"Dipterocarpus","borneensis"
"108",43,10.7,6.8,0.575,14,0,"Diospyros","siamang"
"109",43.5,11.7,7,3.025,12.5,0,"Koompassia","malaccensis"
"110",43.5,12.5,21.6,3.3,19.4085574574122,0,"Neoscortechinia","kingii"
"111",45.9,11.2,13.7,1.55,20.8,0,"Dyera","polyphylla (lowii)"
"112",47.8,8.5,10.8,2.2,10,0,"Tetramerista","glabra"
"113",46.5,13.9,14,2.375,21.2315842644542,0,"Palaquium","pseudorostratum"
"114",43,14.7,13.2,2.75,15.6,0,"Mezzetia","parviflora (leptopoda)"
"115",44.6,1.5,25.2,3.225,21.1288081656929,0,"Diospyros","areolata (bantamensis)"
"116",45.1,16.2,35.9,5.025,32.2769819777084,0,"Koompassia","malaccensis"
"117",45,17.1,18.3,4.725,19.7550214941408,0,"Nephelium","maingayi"
"118",45.5,17.3,14.9,3.625,19.1040153344397,0,"Palaquium","leiocarpum"
"119",45.9,17,8.7,1.65,15,0,"Palaquium","leiocarpum"
"120",45.1,19.5,23.5,2.725,18.3995535591238,0,"Litsea","sp. 1 cf. resinosa"
"121",43.4,19.3,12,2.15,13,0,"Horsfieldia","crassifolia"
"122",49.4,19.6,18,1.975,18.9796099734023,0,"Palaquium","pseudorostratum"
"123",50.4,20,15.7,3.2,15,0,"Garcinia","bancana"
"124",54.6,18.3,8.2,1.875,13,0,"Syzygium","havilandii"
"125",57.5,17.9,10.5,2.2,15,0,"Syzygium","havilandii"
"126",58.5,15.6,19.9,2.375,21.7131477698913,0,"Stemonurus","cf. scorpiodes"
"127",57.9,13.1,17.1,2.8,22.5,0,"Litsea","cf. elliptica"
"128",58,11.9,14.9,2.475,11.6613647377374,0,"Neoscortechinia","kingii"
"129",57.4,9.7,25.5,3.7,24.1781138720135,0,"Mesua","sp. 1"
"130",54.3,11.4,11.3,2.4,15,0,"Syzygium","havilandii"
"131",52.7,11.4,13.6,1.325,16,0,"Syzygium","cf. valevenosum"
"132",52,11.7,9.7,0.75,15,0,"Drepananthus (Cyathocalyx)","biovulatus"
"133",51.8,10.2,10.1,2.175,13,0,"Tetractomia","tetrandra"
"134",53.8,5.8,31.6,3.25,26.3527275309737,0,"Dactylocladus","stenostachys"
"135",53.7,5.4,22.5,4.075,28.5989453618323,0,"Campnosperma","coriaceum"
"136",54.5,5.7,19.4,4.9,18.2,0,"Garcinia","bancana"
"137",54.5,5.2,6.9,2.725,10,0,"Maasia (Polyalthia)","hypoleuca"
"138",56.5,2.7,16.2,2.575,20.0570502141395,0,"Mesua","sp. 1"
"139",59,2,12.9,2.55,15,0,"Stemonurus","cf. scorpiodes"
"140",52.3,0.6,13.6,1.85,15,0,"Elaeocarpus","mastersii"
"143",62.9,3.3,16.2,2.55,22.2850544415279,0,"Shorea","teysmanniana"
"144",64.3,0.9,12.6,3.8,14,0,"Santiria","cf. laevigata"
"145",65.5,0.3,13.2,2.85,13,0,"Garcinia","bancana"
"147",62.5,5,32.9,5.95,25.4368067891674,0,"Mesua","sp. 1"
"148",62,6,8,1.2,11,0,"Dyera","polyphylla (lowii)"
"149",80,6.9,37,3.875,22.7626990332376,0,"Santiria","sp. 1"
"150",62,9.3,21.2,4.75,16.8494465855656,0,"Litsea","sp. 1 cf. resinosa"
"151",80,9.3,6.5,0.825,9,0,"Syzygium","cf. valevenosum"
"152",61.2,10.3,6,1.625,9,0,"Neoscortechinia","kingii"
"153",62,16.2,6,1.275,10,0,"Diospyros","areolata (bantamensis)"
"154",61.2,16.2,17.9,1.95,21.7,0,"Dyera","polyphylla (lowii)"
"155",62.9,16.7,23.2,2.2,22,0,"Xylopia","cf. malayana"
"156",60.7,16,7.9,2.375,10,0,"Diospyros","areolata (bantamensis)"
"157",61.8,16.05,6.6,1.85,11,0,"Calophyllum","cf. hosei (cf. fragrans)"
"158",61.8,16.9,34.7,2.675,21.1,0,"Palaquium","pseudorostratum"
"159",62.5,16,23.3,2.325,16.2,0,"Palaquium","ridleyii"
"160",62.6,15.9,8.8,0.55,7,0,"Dyera","polyphylla (lowii)"
"161",65.1,13.4,10.8,1.5,17,0,"Horsfieldia","crassifolia"
"162",66.3,13.1,14,1.55,17,0,"0","0"
"163",66.2,14,8.5,1.425,12,0,"Licania","splendens"
"164",67.8,13.8,18.8,1,17.5,0,"Madhuca","mottleyana"
"165",68.7,14.2,14.6,1.2,16,0,"Myristica","lowiana"
"166",70.1,16.1,6.8,1.3,11,0,"Diospyros","areolata (bantamensis)"
"167",73.2,15.3,17.7,2.725,12.8,0,"Isonandra","lanceolata"
"168",73.7,15.3,8.4,1.15,11,0,"Memecylon","sp. 1"
"169",79.8,15.6,26.5,5.6,21.4012572937154,0,"Palaquium","ridleyii"
"170",76.5,13,16.4,2.55,16,0,"Memecylon","sp. 1"
"171",79.8,11.4,31.5,3.75,23.9719237058512,0,"Xylopia","fusca"
"172",71.5,3.6,18.2,2.1625,17,0,"Litsea","cf. elliptica"
"173",71,2.2,7.6,1.7,15,0,"Blumeodendron","tokbrai (elateriospermum)"
"174",71.5,1.6,23.6,4.075,17,0,"Elaeocarpus","mastersii"
"175",66.9,4.6,10.7,2.275,16,0,"Palaquium","cochlearifolium"
"176",74.2,3.6,11.2,0.8,12,0,"Horsfieldia","crassifolia"
"177",74.2,3.7,21.7,2.3,16.5634928868164,0,"Tetramerista","glabra"
"178",75.5,5.1,25,2.7,22.4541096560296,0,"Shorea","teysmanniana"
"179",76.3,7.8,9,1.3875,13,0,"Tristaniopsis","sp. 4"
"180",79.6,5.5,22,3.45,16.7,0,"Calophyllum","soulattri"
"181",79.5,5.2,8.1,1.525,10,0,"Stemonurus","cf. scorpiodes"
"182",79.2,1.4,6.2,1.1375,9,0,"Syzygium","sp. 4"
"183",79.6,0,16.6,2.025,19.3,0,"Mesua","sp. 1"
"184",80.5,0.4,6.2,0.4,6,0,"Palaquium","cochlearifolium"
"185",80.4,0.3,7.2,2.475,7.5,0,"Garcinia","sp. 4 parvifolia"
"186",82.2,3.5,26,4.05,19.6245520334292,0,"Mezzetia","parviflora (leptopoda)"
"187",84.1,2.3,7.3,1.35,11,0,"Syzygium","sp. 4"
"188",84.7,1.3,18.8,2.05,18.4275960327994,0,"Stemonurus","cf. scorpiodes"
"189",85.4,0.4,10.4,1.425,10,0,"Dyera","polyphylla (lowii)"
"190",85.4,1.4,7.3,1.15,6,0,"Gymnacranthera","farquhariania"
"191",83.2,7.35,8.2,1.6,11,0,"Licania","splendens"
"192",83.2,7.3,7.1,1.85,11,0,"Maasia (Polyalthia)","hypoleuca"
"193",83,9.2,11.4,2.775,16,0,"Shorea","teysmanniana"
"194",84.3,9,12.7,2.275,16,0,"Diospyros","sp. 1"
"195",84.6,9.3,10,1.6,15,0,"Syzygium","sp. 4"
"196",83.8,10.7,35.4,3.2,26.70066468558,0,"Madhuca","mottleyana"
"197",80,10.7,12.8,2.85,15,0,"Neoscortechinia","kingii"
"198",80.4,16.8,15.8,1.775,15,0,"Tetractomia","tetrandra"
"199",83.3,17.6,16.3,1.5,17,0,"Maasia (Polyalthia)","glauca"
"200",84.5,18.8,14.5,2.7,17,0,"Garcinia","bancana"
"201",86.1,19.6,10.3,1.425,12,0,"Tetramerista","glabra"
"202",88.4,18.5,10.2,1.775,16,0,"Tetractomia","tetrandra"
"203",90.8,18.8,21.5,2.1,16,0,"Tristaniopsis","sp. 4"
"204",92.9,19.2,26,1.875,14,0,"Litsea","sp. 1 cf. resinosa"
"205",93.5,18.9,10,1.925,12,0,"Syzygium","sp. 4"
"206",97.3,17.9,7.4,2.1,10,0,"Garcinia","sp. 4 parvifolia"
"207",97.65,17.3,16,1.925,17,0,"Tetractomia","tetrandra"
"209",97,14.3,20.5,3.575,18,0,"Syzygium","sp. 4"
"211",98.6,12.5,29.5,4.875,33.1348769457281,0,"Koompassia","malaccensis"
"212",86.3,13,8.5,1.3,8,0,"Stemonurus","cf. scorpiodes"
"213",92.1,12.4,28.4,3.7,27.9060230016595,0,"Madhuca","mottleyana"
"214",91.9,12.3,23.4,2.575,21.3866612589015,0,"Palaquium","cochlearifolium"
"215",93.7,12.2,24.6,3.525,24.5,0,"Xylopia","coriifolia"
"216",93.2,11.7,25,3.1,22.5,0,"Mesua","sp. 1"
"217",90.3,10.5,12.2,1.375,16,0,"Memecylon","sp. 1"
"218",90.1,10.4,17.5,1.4,14,0,"Myristica","lowiana"
"219",90.5,9.5,7.7,0.875,10,0,"Neoscortechinia","kingii"
"220",90.8,9.5,13.3,1.925,14,0,"Magnolia","bintulensis"
"221",90.5,8,23.2,2.55,17,0,"Magnolia","bintulensis"
"222",92.6,8,23.7,2.725,21.7590909967014,0,"Syzygium","cf. valevenosum"
"223",90.8,7.3,14.4,2.325,16,0,"Neoscortechinia","kingii"
"224",91.1,7.3,18.4,2.125,12,0,"Tetractomia","tetrandra"
"225",90.8,6,7.1,1,10,0,"Neoscortechinia","kingii"
"226",90.7,5.4,16.5,1.7,20,0,"Diospyros","cf. evena"
"227",89.2,4.4,10,2.6,17,0,"Blumeodendron","tokbrai (elateriospermum)"
"228",88.6,4.9,19.7,2.775,19,0,"Neoscortechinia","kingii"
"229",87.5,3.9,12.8,1.975,17,0,"Vatica","mangachapoi"
"230",88.9,3,8,1.275,6,0,"Aglaia","rubiginosa"
"231",88.7,3.1,7.3,0.975,8,0,"Madhuca","mottleyana"
"232",88.7,2.6,18,2.45,15,0,"Mesua","sp. 1"
"233",90,1.6,12.5,2.95,11,0,"Koompassia","malaccensis"
"234",92.5,4.4,27.8,4.225,25.092111620543,0,"Madhuca","mottleyana"
"235",97,4.6,20.5,2.5,15,0,"Gymnacranthera","farquhariania"
"236",96.3,3.3,8,1.8,13,0,"Elaeocarpus","mastersii"
"237",97.2,2.1,16.6,3.35,16,0,"Litsea","sp. 1 cf. resinosa"
"238",0,20.3,13.8,2.415,15,0,"Mesua","sp. 1"
"239",0.8,21.5,11,2.25,15,0,"Nephelium","maingayi"
"240",4.1,20.9,8.8,1.2,13,0,"Horsfieldia","crassifolia"
"241",5.1,22.6,13.3,1.925,16,0,"Madhuca","mottleyana"
"242",5.1,24.05,13.4,1.75,15,0,"Madhuca","mottleyana"
"243",3.3,31.7,10.7,1.6,9,0,"Tetractomia","tetrandra"
"244",1.8,31.7,14.9,1.875,13,0,"Tetractomia","tetrandra"
"245",0.4,33.9,13.5,2.35,15,0,"Tetractomia","tetrandra"
"246",2.2,33.7,26.3,3.225,17,0,"Campnosperma","squamatum"
"247",2.9,33.1,11,1.85,11,0,"Tetractomia","tetrandra"
"248",2.3,34.1,10.5,1.975,15,0,"Tetractomia","tetrandra"
"249",3.7,35.9,7,2.05,8.5,0,"Tetractomia","tetrandra"
"250",10.8,37,10.5,1.85,15,0,"Nephelium","maingayi"
"251",10.8,37.7,9.7,0.4875,10,0,"Calophyllum","hosei"
"252",10.9,39,20.6,3,25.246519562317,0,"Mesua","sp. 1"
"253",10.3,39.3,8.2,1.75,7.5,0,"Tetractomia","tetrandra"
"254",3.7,36.7,8.5,1.6,9,0,"Tetractomia","tetrandra"
"255",2.6,37.7,22.4,2.075,25.5,0,"Dactylocladus","stenostachys"
"256",1.4,34.7,9.2,1.25,9,0,"Xylopia","coriifolia"
"257",1,39.85,8.4,0.65,6,0,"Horsfieldia","crassifolia"
"258",13.5,39.7,34.5,2.525,26.8079015565825,0,"Shorea","teysmanniana"
"259",14.35,38.4,10,2.05,13,0,"Stemonurus","cf. scorpiodes"
"260",13.7,37.5,9.1,1.775,15,0,"Gonystylus","bancanus"
"261",13.5,36.9,14.7,1.275,17,0,"Syzygium","sp. 4"
"262",14.25,35.2,11.8,1.6875,17,0,"Tetractomia","tetrandra"
"263",15.5,35.95,12.1,2.2375,18,0,"Lithocarpus","conocarpus"
"264",16.9,37.1,9.9,2.125,13,0,"Tetractomia","tetrandra"
"265",18.6,36.7,18.5,3.45,20.4627599809399,0,"Neoscortechinia","kingii"
"266",18.6,36.4,23.5,3.375,22.1259405397773,0,"Memecylon","sp. 1"
"267",13.7,35.8,26.3,2.7,36.8730153561092,0,"Mezzetia","parviflora (leptopoda)"
"268",20,34.5,25.2,4.475,22.7283714327067,0,"Shorea","teysmanniana"
"269",17.5,29.4,34,4.65,26.0251467654205,0,"Xylopia","fusca"
"270",45.4,32.8,22.2,3.675,22.8782984763482,0,"Stemonurus","cf. scorpiodes"
"271",14.4,35.3,8.6,0.175,8,0,"Gymnacranthera","farquhariania"
"272",16.6,35.45,8.6,0.95,10,0,"Shorea","teysmanniana"
"273",15.1,37.5,9.2,0.35,17,0,"Diospyros","cf. evena"
"274",16.9,37.5,13.5,2.725,17,0,"Elaeocarpus","mastersii"
"275",17.5,33.1,9.2,1.35,17,0,"Tetractomia","tetrandra"
"276",18.7,32.4,7.1,2.3,11,0,"Nephelium","maingayi"
"277",19.3,34.1,7.1,1.275,9,0,"Tetractomia","tetrandra"
"278",19.9,34.9,6,1.2,8.5,0,"Xerospermum","laevigatum / noronhianum"
"279",18.4,34.5,6.5,1.3,9,0,"Tetractomia","tetrandra"
"280",18.6,30.6,14.7,3.5,16,0,"Elaeocarpus","mastersii"
"281",16,32.7,10.5,1.525,15.5,0,"Calophyllum","hosei"
"282",15,32.3,7.6,0.85,7.5,0,"Memecylon","sp. 1"
"283",11.6,31.5,19,1.325,17,0,"Palaquium","pseudorostratum"
"284",11.15,30.9,16.6,3.9,15,0,"Elaeocarpus","mastersii"
"285",8.45,28.9,13,2.475,18,0,"Xylopia","fusca"
"286",7.35,31.8,10.2,1.55,16,0,"Mezzetia","parviflora (leptopoda)"
"287",4.1,26.6,10.7,1.95,13,0,"Madhuca","mottleyana"
"288",6.2,22.3,27,3.175,17,0,"Neoscortechinia","kingii"
"289",5,21.7,30,3.875,18,0,"Palaquium","ridleyii"
"290",3.6,20.8,8.6,1.4,9,0,"Horsfieldia","crassifolia"
"291",4.8,20.8,8.1,1.975,10,0,"Lithocarpus","conocarpus"
"292",12.1,20.8,8.7,0.775,15,0,"Sandoricum","beccanarium"
"293",14.65,22.55,8.4,1.725,13,0,"Litsea","cf. elliptica"
"294",14.3,21.5,16.9,2.275,22.4,0,"Xylopia","fusca"
"295",15.5,24.4,8.2,1.7,11,0,"Tetractomia","tetrandra"
"296",18.9,23.2,21,2.95,22.8319244640857,0,"Xylopia","fusca"
"297",20,22.7,7.2,0.5,6,0,"Mezzetia","umbellata"
"298",22.4,22.3,35.5,2.8,31.0973763966812,0,"Parartocarpus","venenosus"
"299",21.2,23.9,19.3,2.325,29.6,0,"Xylopia","fusca"
"300",20.8,26,10.3,2.275,12,0,"Maasia (Polyalthia)","hypoleuca"
"301",21,27.3,6.1,0.9,8,0,"Syzygium","sp. 4"
"302",20.5,27.9,8.6,1.175,10,0,"Memecylon","sp. 1"
"303",21.1,26.8,9.8,1.225,10,0,"Syzygium","sp. 4"
"304",21.2,27.2,14.8,2.475,24.1269797815208,0,"Vatica","mangachapoi"
"305",21.6,27.2,14.9,2.5,21.8760331484293,0,"Neoscortechinia","kingii"
"306",21,29.3,8.5,2.55,10,0,"Elaeocarpus","mastersii"
"307",20.2,27.7,9.3,1.9,13,0,"Santiria","cf. laevigata"
"308",21.5,29.9,6.9,2.675,8,0,"Maasia (Polyalthia)","hypoleuca"
"309",22.3,34.5,18,2.25,17,0,"Gymnacranthera","farquhariania"
"310",20.5,35.7,25.6,3.25,30.1841896919988,0,"Litsea","sp. 1 cf. resinosa"
"312",21.8,37.4,31,5.525,30.2394814286615,0,"Lithocarpus","conocarpus"
"313",22.3,37.2,9,2.075,12,0,"Maasia (Polyalthia)","hypoleuca"
"314",23.9,38,14.6,2.1,15,0,"Stemonurus","cf. scorpiodes"
"315",24.5,38.1,8.2,1.125,15,0,"Santiria","cf. laevigata"
"316",24.7,38.1,7.3,1.625,11,0,"Memecylon","sp. 1"
"317",24.95,37,7,1.7,11,0,"Nephelium","maingayi"
"318",24.95,36.2,21.4,2.95,23.2635350745747,0,"Palaquium","pseudorostratum"
"319",28,34,9.6,2.85,16,0,"Elaeocarpus","mastersii"
"320",26.7,33,11.3,2.75,11,0,"Elaeocarpus","mastersii"
"321",27.4,27.1,10,1.925,13,0,"Memecylon","sp. 1"
"322",27.6,22.3,9.4,0.925,8,0,"Horsfieldia","crassifolia"
"323",29.7,36,10.5,0.9,17,0,"Isonandra","lanceolata"
"324",31.6,39.3,18.5,3,17,0,"Memecylon","sp. 1"
"325",32.75,37.7,8.4,1.8,15,0,"Tetractomia","tetrandra"
"326",34.1,35.7,29.5,3.55,29.009195041061,0,"Madhuca","mottleyana"
"328",39.2,36.6,8.6,1.55,13,0,"Stemonurus","cf. scorpiodes"
"329",38,35.2,8,0.6,8,0,"Gymnacranthera","farquhariania"
